questions,answers,category,category_id
Веќе имам некои познавања од областа на дигитален маркетинг и сакам да ги надоградам моите знаења. Дали нудите напреден курс за дигитален маркетинг?,Текот на Академијата подразбира почеток од основно ниво и доаѓа до напредно ниво.,маркетинг,1
дали нудите напредни предавања за маркетинг,Текот на Академијата подразбира почеток од основно ниво и доаѓа до напредно ниво.,маркетинг,1
"Не живеам во Македонија, дали може да се пријавам за академијата за дигитален маркетинг и да ја следам од странство?","Предавањата на Академијата за дигитален маркетинг се одржуваат онлајн, така што може да ги следите од било каде.",маркетинг,1
Живеам во странство и дали може да ја следам академијата,"Предавањата на академијата се одржуваат онлајн, така што може да ги следите од било каде.",маркетинг,1
Дали постои можност за плаќање на рати?,Сумата може да ја платите на 15 месечни рати без камата.,маркетинг,1
Која е цената на академијата за дигитален маркетинг?,"Цената на Академијата за графички дизајн e 1450 евра, со можност за плаќање на рати. Повеќе информации за Академијата на: https://marketpreneurs.brainster.co/",маркетинг,1
Колку чини дигитален маркетинг,"Цената на Академијата за графички дизајн e 1450 евра, со можност за плаќање на рати. Повеќе информации за Академијата на: https://marketpreneurs.brainster.co/",маркетинг,1
колку кошта дигитален маркетинг,"Цената на Академијата за графички дизајн e 1450 евра, со можност за плаќање на рати. Повеќе информации за Академијата на: https://marketpreneurs.brainster.co/",маркетинг,1
Дали на академијата за дигитален маркетинг се изработуваат практични проекти?,"одговорот е потврден, на Академијата се работи на практични проекти кои можете да ги вклучите во вашето лично портфолио.",маркетинг,1
какви проекти се работат на дигитален маркетинг,На академијата за дигитален маркетинг се работи на практични проекти кои можете да ги вклучите во вашето лично портфолио.,маркетинг,1
Дали инструкторите на академијата за дигитален маркетинг се искусни?,Сите инструктори на Академијата се докажани професионалци со повеќегодишно искуство во индустријата.,маркетинг,1
Со кои компании се соработува на дигитален маркетинг?,"Дел од компаниите со кои сме соработувале досега може да ги видите на следниов линк, во делот Learning Partners: https://marketpreneurs.brainster.co/",маркетинг,1
Зошто вашата програма за дигитален маркетинг е подобра од другите на пазарот?,"Во склоп на академијата за дигитален маркетинг, Brainster нуди работа на практични задачи во реални услови, како и поддршка за кариерен развој и додатно унапредување. За деталната листа на предности кои ги има нашата академија следете го овој линк: https://marketpreneurs.brainster.co/",маркетинг,1
Дали по завршување на академијата се добива сертификат или диплома?,"Да, ако успешно го одбраниш завршниот проект добиваш диплома.",маркетинг,1
Како може да аплицирам за академијата за дигитален маркетинг?,Со пополнување на формуларот за апликација влегувате во нашата база на апликанти. Во рок од 24 часа очекувајте повик од координаторот на Академијата за да договорите датум и време за online средба. Формулатор е достапен на следниов линк: https://brainsterquiz.typeform.com/to/PWfIJt,маркетинг,1
Дали може да аплицирам ако групата е веќе пополнета?,Секако дека може! Отворени сме за апликации и кога е групата е пополнета. Ќе имате можност за резервирано место за интервју и можност за влез во наредната група на Академијата.,маркетинг,1
дали може да аплицирам ако нема место во групата за маркетинг,Секако дека може! Отворени сме за апликации и кога е групата е пополнета. Ќе имате можност за резервирано место за интервју и можност за влез во наредната група на Академијата.,маркетинг,1
Како ги одбирате студентите за академијата за дигитален маркетинг?,"Откако имаме доволен број кандидати, тимот на Академијата се состанува и ги разгледува деталите за сите апликанти (нивниот background, слободно време за академијата, желба за посветеност, кариерни аспирации, mindset и причини зошто се одлучиле за дигитален маркетинг). На овој начин се трудиме да ги препознаеме луѓето со љубопитен ум и широко познавање од многу области, за кои сметаме дека се најдобрите кандидати за оваа Академија.",маркетинг,1
како правите селекција за дигитален маркетинг,"Откако имаме доволен број кандидати, тимот на Академијата се состанува и ги разгледува деталите за сите апликанти (нивниот background, слободно време за академијата, желба за посветеност, кариерни аспирации, mindset и причини зошто се одлучиле за дигитален маркетинг). На овој начин се трудиме да ги препознаеме луѓето со љубопитен ум и широко познавање од многу области, за кои сметаме дека се најдобрите кандидати за оваа Академија.",маркетинг,1
Дали поради ситуацијата со корона вирусот имате попуст за академијата за дигитален маркетинг?,"Цената на Академијата за дигитален маркетинг e 1450 евра, но постои и можност за плаќање на 15 рати без камата.",маркетинг,1
колки години треба да имам за да аплицирам за академијата за дигитален маркетинг?,Ако имаш наполнети 16 години тогаш можеш да аплицираш кај нас.,маркетинг,1
"Ученик сум во средно училиште, дали може да аплицирам за академијата за дигитален маркетинг?",Ако имаш наполнети 16 години тогаш можеш да аплицираш кај нас.,маркетинг,1
Дали дипломата или сертификатот добиен од академијата за дигитален маркетинг важи во странство?,"Нашите дипломи се доказ дека сте го совладале сето она предвидено со програмата на Академијата. Дипломата не е акредитирана и призната во странство, но имаме компании партнери кои ги прифаќаат нашите програми.",маркетинг,1
Дали за академијата за дигитален маркетинг може да се искористи ваучерот за обука на млади лица што го нуди Владата?,"Да, постои можност ваучерот за млади лица да се искористи за оваа Академија. Повеќе информации на следниов линк: https://vauceri.brainster.co/",маркетинг,1
Што по завршувањето на академијата за маркетинг?,Како дел од активностите на Академијата е и соработка со компании кои се наши партнети кои често нудат и можност за вработување.,маркетинг,1
контакт телефон за маркетинг,"За повеќе информации околу Академијата за дигитален маркетинг, контактирајте ја Ивона Стојковска, нашиот Customer Success manager на 076 424 094",маркетинг,1
Што е Fundamentals of marketing,"Ќе зборуваме за позиционирање, buyer persona, сегментација, таргетирање.",маркетинг,1
Што е Digital Marketing Strategy,"Ќе дознаеш како дигитализацијата го промени маркетингот со можностите за детално мерење и концептите како remarketing, и lookalike targeting. Потоа ќе научиш како се креира успешна маркетинг стратегија и како се одредуват каналите, активностите и алатките што ќе ги користиш",маркетинг,1
Што е Content Marketing,Со квалитетна и релевантна содржина да ги натераш потенцијалните клиенти сами да дојдат на твоите канали.,маркетинг,1
Што е Facebook & Instagram Ads,"Креирањето одлично таргетирани и пласирани реклами за Facebook и Instagram, како да ги следиш и оптимизираш резултатите.",маркетинг,1
Што е Google Ads,"Начин на креирање реклами кои се прикажуваат на пребарувачот на Google, банери и реклами за YouTube.",маркетинг,1
Што е SEO,Што е потребно за твојата веб-страница да се рангира меѓу првите резултати при пребарување на Google за одреден клучен збор.,маркетинг,1
Што е Growth Hacking,Серија од иновативни growth marketing техники за рапидно зголемување на интересот за твојот продукти или услуга.,маркетинг,1
Што е Storytelling,"како да се поврзеш со твојата публика, градејќи ги односите преку креирање вредности наместо преку класично рекламирање.",маркетинг,1
Што е Copywriting,како да напишеш copy со кое најдобро ќе го испромовираш својот производ или услуга на што поголема бројка на луѓе.,маркетинг,1
Што е Lead Generation,"како се креира кампања за собирање лидови, како сам да создадеш добра landing страница и да поставиш e-mail автоматизација.",маркетинг,1
Колку време трае академијата за графички дизајн?,Академијата за графички дизајн трае 32 недели.,дизајн,2
Колку трае академијата за графички дизајн?,Академијата за графички дизајн трае 32 недели.,дизајн,2
Времетрање на академијата за графички дизајн?,Академијата за графички дизајн трае 32 недели.,дизајн,2
Како се одвива наставата на академијата за графички дизајн?,Наставата за академијата за графички дизајн се одвива онлајн. Неделно се одржуваат три часови во времетрање од по два часа.,дизајн,2
Дали наставата на академијата за графички дизајн се одвива во живо или онлајн?,Наставата за академијата за графички дизајн се одвива онлајн. Неделно се одржуваат три часови во времетрање од по два часа.,дизајн,2
Дали наставата на академијата за графички дизајн се одвива во живо?,Наставата за академијата за графички дизајн се одвива онлајн. Неделно се одржуваат три часови во времетрање од по два часа.,дизајн,2
Дали наставата на академијата за графички дизајн се одвива онлајн?,Наставата за академијата за графички дизајн се одвива онлајн. Неделно се одржуваат три часови во времетрање од по два часа.,дизајн,2
Дали наставата на академијата за графички дизајн е во живо?,Наставата за академијата за графички дизајн се одвива онлајн. Неделно се одржуваат три часови во времетрање од по два часа.,дизајн,2
Дали наставата на академијата за графички дизајн е онлајн?,Наставата за академијата за графички дизајн се одвива онлајн. Неделно се одржуваат три часови во времетрање од по два часа.,дизајн,2
Каква опрема ми е потребна за академијата за графички дизајн?,"За успешно следење на наставата во рамките на академијата за дизајн потребен ви е лаптоп на кој можете да инсталирате апликации за обработка на графика (Illustrator, Photoshop, Indesign). Дополнително, потребна ви е и интернет врска за да може да ја следите онлајн-наставата.",дизајн,2
Каква опрема ми е треба за академијата за графички дизајн?,"За успешно следење на наставата во рамките на академијата за дизајн потребен ви е лаптоп на кој можете да инсталирате апликации за обработка на графика (Illustrator, Photoshop, Indesign). Дополнително, потребна ви е и интернет врска за да може да ја следите онлајн-наставата.",дизајн,2
Што треба да имам од опрема за академијата за графички дизајн?,"За успешно следење на наставата во рамките на академијата за дизајн потребен ви е лаптоп на кој можете да инсталирате апликации за обработка на графика (Illustrator, Photoshop, Indesign). Дополнително, потребна ви е и интернет врска за да може да ја следите онлајн-наставата.",дизајн,2
Кој софтвер се користи на академијата за графички дизајн?,"Во Академијата за графички дизајн ќе работите со софтверските пакети Adobe Illustrator, Adobe Photoshop и Adobe Indesign.",дизајн,2
Кој софтвер се учи на академијата за графички дизајн?,"Во Академијата за графички дизајн ќе работите со софтверските пакети Adobe Illustrator, Adobe Photoshop и Adobe Indesign.",дизајн,2
Кој софтвер се работи на академијата за графички дизајн?,"Во Академијата за графички дизајн ќе работите со софтверските пакети Adobe Illustrator, Adobe Photoshop и Adobe Indesign.",дизајн,2
Што се изучува на академијата за графички дизајн?,"На Академијата за графички дизајн предвидено е изучување на дизајн и типографија, работа со соодветен софтвер (Illustrator, Photoshop, Indesign). Знаењето практично се применува на проекти (на пр. дизајн на лого, постер, пакување).",дизајн,2
Кои области се изучуваат на академијата за графички дизајн?,"На Академијата за графички дизајн предвидено е изучување на дизајн и типографија, работа со соодветен софтвер (Illustrator, Photoshop, Indesign). Знаењето практично се применува на проекти (на пр. дизајн на лого, постер, пакување).",дизајн,2
Кои теми се обработуваат на академијата за графички дизајн?,"На Академијата за графички дизајн предвидено е изучување на дизајн и типографија, работа со соодветен софтвер (Illustrator, Photoshop, Indesign). Знаењето практично се применува на проекти (на пр. дизајн на лого, постер, пакување).",дизајн,2
Дали има слободни места на академијата за графички дизајн?,Повеќе информации за уписи и слободни места на Академијата за графички дизајн може да најдете на следниов линк: https://design.brainster.co/?utm_source=brainster.co&utm_medium=academies&utm_campaign=website&utm_content=design ,дизајн,2
Има ли слободни места на академијата за графички дизајн?,Повеќе информации за уписи и слободни места на Академијата за графички дизајн може да најдете на следниов линк: https://design.brainster.co/?utm_source=brainster.co&utm_medium=academies&utm_campaign=website&utm_content=design ,дизајн,2
Кога почнуваат уписите за следната академија за графички дизајн?,Повеќе информации за уписи и слободни места на Академијата за графички дизајн може да најдете на следниов линк: https://design.brainster.co/?utm_source=brainster.co&utm_medium=academies&utm_campaign=website&utm_content=design ,дизајн,2
Кога има уписи за следната академија за графички дизајн?,Повеќе информации за уписи и слободни места на Академијата за графички дизајн може да најдете на следниов линк: https://design.brainster.co/?utm_source=brainster.co&utm_medium=academies&utm_campaign=website&utm_content=design ,дизајн,2
Кога почнуваат уписите за академијата за графички дизајн?,Повеќе информации за уписи и слободни места на Академијата за графички дизајн може да најдете на следниов линк: https://design.brainster.co/?utm_source=brainster.co&utm_medium=academies&utm_campaign=website&utm_content=design ,дизајн,2
Кога има уписи за академијата за графички дизајн?,Повеќе информации за уписи и слободни места на Академијата за графички дизајн може да најдете на следниов линк: https://design.brainster.co/?utm_source=brainster.co&utm_medium=academies&utm_campaign=website&utm_content=design ,дизајн,2
Дали постои можност за вработување после завршувањето на Академијата?,Како дел од активностите на Академијата е и соработка со компании кои се наши партнети кои често нудат и можност за вработување.,дизајн,2
Дали има можност за вработување после завршувањето на Академијата?,Како дел од активностите на Академијата е и соработка со компании кои се наши партнети кои често нудат и можност за вработување.,дизајн,2
Дали се нуди за вработување после завршувањето на Академијата?,Како дел од активностите на Академијата е и соработка со компании кои се наши партнети кои често нудат и можност за вработување.,дизајн,2
Дали наставата на академијата за графички дизајн вклучува само работа на компјутер?,"Покрај работата на компјутер во рамките на Академијата предвидена и посета на дизајн студио, посета на печатница, како и учество во хакатони и дизајн натпревари.",дизајн,2
Дали наставата на академијата за графички дизајн има само работа на компјутер?,"Покрај работата на компјутер во рамките на Академијата предвидена и посета на дизајн студио, посета на печатница, како и учество во хакатони и дизајн натпревари.",дизајн,2
Дали наставата на академијата за графички дизајн се работи само на компјутер?,"Покрај работата на компјутер во рамките на Академијата предвидена и посета на дизајн студио, посета на печатница, како и учество во хакатони и дизајн натпревари.",дизајн,2
Какви активности има на академијата за графички дизајн?,"Покрај работата на компјутер во рамките на Академијата предвидена и посета на дизајн студио, посета на печатница, како и учество во хакатони и дизајн натпревари.",дизајн,2
Дали е потребно предзнаење за успех на Академијата за графички дизајн?,"Освен желба за учење и работа, предзнање не е неопходно.",дизајн,2
Дали е потребно предзнаење на Академијата за графички дизајн?,"Освен желба за учење и работа, предзнање не е неопходно.",дизајн,2
Кои се инструкторите на Академијата за графички дизајн?,Нашите инструктори се професионалци со повеќегодишно искуство во индустријата. Повеќе информации за нив можете да најдете на следниов линк: https://design.brainster.co/?utm_source=brainster.co&utm_medium=academies&utm_campaign=website&utm_content=design,дизајн,2
Дали нудите курсеви за графички дизајн?,Во моментов курсевите не се одржуваат.,дизајн,2
Дали нудите popup курсеви за графички дизајн?,Во моментов popup курсевите не се одржуваат.,дизајн,2
Дали имате курсеви за графички дизајн?,Во моментов курсевите не се одржуваат.,дизајн,2
Дали имате popup курсеви за графички дизајн?,Во моментов popup курсевите не се одржуваат.,дизајн,2
Дали нудите напредна академија за графички дизајн?,Текот на Академијата подразбира почеток од основно ниво и доаѓа до напредно ниво.,дизајн,2
Дали академијата за графички дизајн е напредна?,Текот на Академијата подразбира почеток од основно ниво и доаѓа до напредно ниво.,дизајн,2
Дали има напредна академија за графички дизајн?,Текот на Академијата подразбира почеток од основно ниво и доаѓа до напредно ниво.,дизајн,2
"Не живеам во Македонија, дали може да се пријавам за академијата за графички дизајн и да ја следам од странство?","Предавањата на Академијата за графички дизајн се одржуваат онлајн, така што може да ги следите од било каде.",дизајн,2
"Живеам надвор од Македонија, дали може да се пријавам за академијата за графички дизајн и да ја следам од странство?","Предавањата на Академијата за графички дизајн се одржуваат онлајн, така што може да ги следите од било каде.",дизајн,2
Дали може да се пријавам за академијата за графички дизајн и да ја следам од странство?,"Предавањата на Академијата за графички дизајн се одржуваат онлајн, така што може да ги следите од било каде.",дизајн,2
Дали може да ја следам академијата за графички дизајн од странство?,"Предавањата на Академијата за графички дизајн се одржуваат онлајн, така што може да ги следите од било каде.",дизајн,2
"Живеам во странство, дали може да се пријавам за академијата за графички дизајн и да ја следам?","Предавањата на Академијата за графички дизајн се одржуваат онлајн, така што може да ги следите од било каде.",дизајн,2
Дали постои можност за плаќање на рати?,Сумата може да ја платите на 18 месечни рати без камата.,дизајн,2
Дали може да се прати на рати?,Сумата може да ја платите на 18 месечни рати без камата.,дизајн,2
Која е цената на академијата за графички дизајн?,"Цената на Академијата за графички дизајн e 1850 евра, со можност за плаќање на рати. Повеќе информации за Академијата на: https://design.brainster.co/?utm_source=brainster.co&utm_medium=academies&utm_campaign=website&utm_content=design",дизајн,2
Колку чини академијата за графички дизајн?,"Цената на Академијата за графички дизајн e 1850 евра, со можност за плаќање на рати. Повеќе информации за Академијата на: https://design.brainster.co/?utm_source=brainster.co&utm_medium=academies&utm_campaign=website&utm_content=design",дизајн,2
Колку пари чини академијата за графички дизајн?,"Цената на Академијата за графички дизајн e 1850 евра, со можност за плаќање на рати. Повеќе информации за Академијата на: https://design.brainster.co/?utm_source=brainster.co&utm_medium=academies&utm_campaign=website&utm_content=design",дизајн,2
Колку кошта академијата за графички дизајн?,"Цената на Академијата за графички дизајн e 1850 евра, со можност за плаќање на рати. Повеќе информации за Академијата на: https://design.brainster.co/?utm_source=brainster.co&utm_medium=academies&utm_campaign=website&utm_content=design",дизајн,2
Дали на академијата за графички дизајн се изработуваат практични проекти?,"Одговорот е потврден, на Академијата се работи на практични проекти кои можете да ги вклучите во вашето лично портфолио.",дизајн,2
Дали на академијата за графички дизајн се работат практични проекти?,"Одговорот е потврден, на Академијата се работи на практични проекти кои можете да ги вклучите во вашето лично портфолио.",дизајн,2
Дали на академијата за графички дизајн се работи на практични проекти?,"Одговорот е потврден, на Академијата се работи на практични проекти кои можете да ги вклучите во вашето лично портфолио.",дизајн,2
Дали на академијата за графички дизајн се прават практични проекти?,"Одговорот е потврден, на Академијата се работи на практични проекти кои можете да ги вклучите во вашето лично портфолио.",дизајн,2
Дали има стипендија за академијата за графички дизајн?,"Да, предвидени се 6 делумни стипендии за најдобрите кандидати и можност за финансирање преку opportunity fund.",дизајн,2
Дали постои стипендија за академијата за графички дизајн?,"Да, предвидени се 6 делумни стипендии за најдобрите кандидати и можност за финансирање преку opportunity fund.",дизајн,2
Дали нудите стипендија за академијата за графички дизајн?,"Да, предвидени се 6 делумни стипендии за најдобрите кандидати и можност за финансирање преку opportunity fund.",дизајн,2
Дали давате стипендија за академијата за графички дизајн?,"Да, предвидени се 6 делумни стипендии за најдобрите кандидати и можност за финансирање преку opportunity fund.",дизајн,2
Дали ќе ми помогнете со инсталирање на софтвер потребен за академијата за графички дизајн?,Секако дека ќе ви помогнеме! Во рамките на програмата е предвидено време за инсталирање и проверка на потребниот софтвер.,дизајн,2
Дали ќе ми помогнете со инсталирање на софтвер академијата за графички дизајн?,Секако дека ќе ви помогнеме! Во рамките на програмата е предвидено време за инсталирање и проверка на потребниот софтвер.,дизајн,2
Дали инструкторите на академијата за графички дизајн се искусни?,Сите инструктори на Академијата се докажани професионалци со повеќегодишно искуство во индустријата.,дизајн,2
Дали инструкторите на академијата за графички дизајн имаат искуство?,Сите инструктори на Академијата се докажани професионалци со повеќегодишно искуство во индустријата.,дизајн,2
Какво искуство имаат инструкторите на академијата за графички дизајн?,Сите инструктори на Академијата се докажани професионалци со повеќегодишно искуство во индустријата.,дизајн,2
Колку искуство имаат инструкторите на академијата за графички дизајн?,Сите инструктори на Академијата се докажани професионалци со повеќегодишно искуство во индустријата.,дизајн,2
Што се изучува во делот за типографија?,"Во овој дел ќе изучувате типографска терминологија, употреба на фонтови (kerning, leading, tracking, hierarchy), практични примери и нивна анализа.",дизајн,2
Што се учи во делот за типографија?,"Во овој дел ќе изучувате типографска терминологија, употреба на фонтови (kerning, leading, tracking, hierarchy), практични примери и нивна анализа.",дизајн,2
Што се работи во делот за типографија?,"Во овој дел ќе изучувате типографска терминологија, употреба на фонтови (kerning, leading, tracking, hierarchy), практични примери и нивна анализа.",дизајн,2
Што се изучува во делот за layout?,"Во овој дел ќе работите на дизајн на книга, публикација, списание, корици и слично.",дизајн,2
